Analyst,FileName,Date,RecordingLocation,plot,location,PrimateSpecies,CallOnset,CallDuration,CallCompletion,CallDistance,Rain,MicUsed,UndergradComments,SilvyComments,newdate,year,StartTime,TimeDiff,CallEnd,CallingAtStart,CallingAtEnd,path,date,meanRMS_0_2kHz,meanRMS_0_8kHz,meanRMS_2_8kHz,LunarPhase,today_average,lastnight_average,lastnight_min,dt,roundDateTime,Celsius,Humidity,Titis,Howlers,CallDurationInSec,Year
Silvy van Kuijk,HARPIA_20130226_070000.wav,2/26/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 07:05:30,NA,NA,NA,Drizzle,1,NA,NA,2/26/2013,2013,0000-01-01 07:00:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/26 feb 2013",26-Feb-13,78.94363816,96.21589898,96.1338023,Full,24.89583333,24.54166667,23.5,2/26/2013,2/26/2013,24.5,99,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130226_071500.wav,2/26/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 07:22:58,NA,NA,NA,Drizzle,1,NA,NA,2/26/2013,2013,0000-01-01 07:15:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/26 feb 2013",26-Feb-13,81.1587211,95.05820182,94.87769098,Full,24.89583333,24.54166667,23.5,2/26/2013,2/26/2013,24.5,99,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130226_073000.wav,2/26/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 07:37:11,NA,NA,NA,Rain,1,NA,NA,2/26/2013,2013,0000-01-01 07:30:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/26 feb 2013",26-Feb-13,103.8327434,109.3896852,107.9750959,Full,24.89583333,24.54166667,23.5,2/26/2013,2/26/2013,24.5,99,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130226_074500.wav,2/26/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 07:51:10,NA,NA,NA,Rain,1,NA,NA,2/26/2013,2013,0000-01-01 07:45:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/26 feb 2013",26-Feb-13,101.668797,107.2547862,105.8515838,Full,24.89583333,24.54166667,23.5,2/26/2013,2/26/2013,24.5,99,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130226_080000.wav,2/26/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 08:04:33,NA,NA,NA,Rain,1,NA,NA,2/26/2013,2013,0000-01-01 08:00:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/26 feb 2013",26-Feb-13,94.8022347,99.86633063,98.24596967,Full,24.89583333,24.54166667,23.5,2/26/2013,2/26/2013,24.5,99,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130227_054500.wav,2/27/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 05:50:06,NA,NA,NA,Dry,1,NA,NA,2/27/2013,2013,0000-01-01 05:45:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/27 feb 2013",27-Feb-13,81.77033927,96.03350218,95.86787303,Full,24.16666667,23.25,22.5,2/27/2013,2/27/2013,23,99.5,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130227_060000.wav,2/27/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 06:04:08,NA,NA,NA,Dry,1,NA,Someone walks by 6:30 into recording.,2/27/2013,2013,0000-01-01 06:00:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/27 feb 2013",27-Feb-13,89.39440137,93.5787748,91.49237409,Full,24.16666667,23.25,22.5,2/27/2013,2/27/2013,23,99.5,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130227_061500.wav,2/27/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 06:18:28,NA,NA,NA,Drizzle,1,NA,NA,2/27/2013,2013,0000-01-01 06:15:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/27 feb 2013",27-Feb-13,89.63918041,93.37067855,90.97949442,Full,24.16666667,23.25,22.5,2/27/2013,2/27/2013,23,99.5,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130227_063000.wav,2/27/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 06:36:21,NA,NA,NA,Drizzle,1,NA,"Series of 2 complete capuchin loud calls, pretty faint distance 3, starting at 06:36:30, lasts 6 seconds. Series of 3 short capuchin loud calls, starting at 06:39:44, lasts 11 seconds, distance 3.",2/27/2013,2013,0000-01-01 06:30:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/27 feb 2013",27-Feb-13,85.46501135,93.82960137,93.15150119,Full,24.16666667,23.25,22.5,2/27/2013,2/27/2013,23,99.5,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130227_064500.wav,2/27/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 06:49:28,NA,NA,NA,Drizzle,1,NA,"Single capuchin monkey loud call, starts at 06:49:18, lasts 2 seconds, distance 3.",2/27/2013,2013,0000-01-01 06:45:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/27 feb 2013",27-Feb-13,82.44991242,93.29152627,92.91872387,Full,24.16666667,23.25,22.5,2/27/2013,2/27/2013,23,99.5,FALSE,FALSE,NA,2013
