Analyst,FileName,StartTime,Date,RecordingLocation,PrimateSpecies,CallOnset,CallDuration,CallCompletion,CallDistance,Rain,UndergradComments,SilvysComments,LunarPhase,TodayAverageTemp,LastnightAverageTemp,LastnightMinTemp,TempAtHour,HumidityAtHour
Andy Zhou,HARPIA_20130214_071500,71500,2/14/2013,"Harpia, 1,800",Titi,7:21:40,0:03:10,Complete,3,Dry,,Burst gobbles,Waxing,25.16666667,23.5,22.5,22,100
Andy Zhou,HARPIA_20130214_073000,73000,2/14/2013,"Harpia, 1,800",Titi,7:39:19,0:00:08,Complete,3,Dry,,Burst gobble,Waxing,25.16666667,23.5,22.5,22,100
Andy Zhou,HARPIA_20130214_073000,73000,2/14/2013,"Harpia, 1,800",Titi,7:39:42,0:00:09,Complete,3,Dry,,Burst gobble,Waxing,25.16666667,23.5,22.5,22,100
Andy Zhou,HARPIA_20130214_074500,74500,2/14/2013,"Harpia, 1,800",None,,,,NA,Dry,,,Waxing,25.16666667,23.5,22.5,22,100
Andy Zhou,HARPIA_20130214_080000,80000,2/14/2013,"Harpia, 1,800",Titi,8:00:00,0:04:15,Complete,4,Dry,Very faint Titi duet. Maybe I am going crazy ;),"Great catch! However, these are so faint that I don't consider them good enough quality data. I'd give all three of these a 'far/faint' classification. Will add this soon and fix data for all files we'll have done up until then.",Waxing,25.16666667,23.5,22.5,22.5,100
Andy Zhou,HARPIA_20130214_080000,80000,2/14/2013,"Harpia, 1,800",Titi,8:05:55,0:01:19,Complete,4,Dry,Very faint Titi duet. Maybe I am going crazy ;),See above,Waxing,25.16666667,23.5,22.5,22.5,100
Andy Zhou,HARPIA_20130214_080000,80000,2/14/2013,"Harpia, 1,800",Titi,8:08:54,0:00:05,Complete,4,Dry,Very faint Titi duet. Maybe I am going crazy ;),See above,Waxing,25.16666667,23.5,22.5,22.5,100
Andy Zhou,HARPIA_20130214_081500,81500,2/14/2013,"Harpia, 1,800",None,,,,NA,Dry,,,Waxing,25.16666667,23.5,22.5,23.5,100
Andy Zhou,HARPIA_20130214_083000,83000,2/14/2013,"Harpia, 1,800",None,,,,NA,Dry,,,Waxing,25.16666667,23.5,22.5,24.5,99.5
Andy Zhou,HARPIA_20130214_084500,84500,2/14/2013,"Harpia, 1,800",None,,,,NA,Dry,,,Waxing,25.16666667,23.5,22.5,27.5,92.5
Andy Zhou,HARPIA_20130214_090000,90000,2/14/2013,"Harpia, 1,800",None,,,,NA,Dry,,,Waxing,25.16666667,23.5,22.5,25,98
Andy Zhou,HARPIA_20130214_091500,91500,2/14/2013,"Harpia, 1,800",None,,,,NA,Dry,,,Waxing,25.16666667,23.5,22.5,23.5,99
Silvy van Kuijk,HARPIA_20130215_054500,54500,2/15/2013,"Harpia, 2,200",Howler,5:45:00,0:10:00,"Start, End",3,Dry,,Set of four interesting calls from 5:10 to 5:30. No idea what it could be. Owl?,Waxing,24.4375,24.375,23.5,22,100
Silvy van Kuijk,HARPIA_20130215_060000,60000,2/15/2013,"Harpia, 2,200",Howler,6:00:00,0:10:00,"Start, End",3,Dry,,,Waxing,24.4375,24.375,23.5,26,97.5
Silvy van Kuijk,HARPIA_20130215_060000,60000,2/15/2013,"Harpia, 2,200",Spider,6:07:40,0:00:02,Complete,3,Dry,,"Spider monkey loud call, start 06:07:40",Waxing,24.4375,24.375,23.5,26,97.5
Silvy van Kuijk,HARPIA_20130215_060000,60000,2/15/2013,"Harpia, 2,200",Spider,6:09:06,0:00:12,Complete,3,Dry,,,Waxing,24.4375,24.375,23.5,26,97.5
Silvy van Kuijk,HARPIA_20130215_061500,61500,2/15/2013,"Harpia, 2,200",Howler,6:15:00,0:09,Start,4,Dry,,Howlers stop close to 06:30:00 rain starts around 07:00:00.,Waxing,24.4375,24.375,23.5,28.5,91.5
Silvy van Kuijk,HARPIA_20130215_061500,61500,2/15/2013,"Harpia, 2,200",Spider,6:15:41,0:00:07,Complete,3,Dry,,Short spider monkey loud call,Waxing,24.4375,24.375,23.5,28.5,91.5
Silvy van Kuijk,HARPIA_20130215_061500,61500,2/15/2013,"Harpia, 2,200",Spider,6:17:23,0:00:06,Complete,3,Dry,,Short spider monkey loud call,Waxing,24.4375,24.375,23.5,28.5,91.5
Silvy van Kuijk,HARPIA_20130215_061500,61500,2/15/2013,"Harpia, 2,200",Spider,6:18:17,0:00:07,Complete,3,Dry,,Short spider monkey loud call,Waxing,24.4375,24.375,23.5,28.5,91.5
Silvy van Kuijk,HARPIA_20130215_061500,61500,2/15/2013,"Harpia, 2,200",Spider,6:19:33,0:00:16,Complete,3,Dry,,Spider monkey loud call. Slightly louder and longer than previous 3. ,Waxing,24.4375,24.375,23.5,28.5,91.5
Silvy van Kuijk,HARPIA_20130215_061500,61500,2/15/2013,"Harpia, 2,200",Spider,6:21:30,0:00:05,Complete,3,Dry,,Spider monkey loud call.,Waxing,24.4375,24.375,23.5,28.5,91.5
Silvy van Kuijk,HARPIA_20130215_061500,61500,2/15/2013,"Harpia, 2,200",Spider,6:23:42,0:00:07,Complete,3,Dry,,Spider monkey loud call.,Waxing,24.4375,24.375,23.5,28.5,91.5
Silvy van Kuijk,HARPIA_20130215_063000,63000,2/15/2013,"Harpia, 2,200",None,,,,NA,Dry,,"I can hear something move through trees about 5:30 in, but hear no primate calls.",Waxing,24.4375,24.375,23.5,26.5,91.5
Silvy van Kuijk,HARPIA_20130215_064500,64500,2/15/2013,"Harpia, 2,200",None,,,,NA,Dry,,"Pretty cool recording. First insect calls start picking up, then wind comes in. Pretty sure I'll find rain in one of the next recordings!",Waxing,24.4375,24.375,23.5,25,96.5
Silvy van Kuijk,HARPIA_20130215_070000,70000,2/15/2013,"Harpia, 2,200",None,,,,NA,Rain,,"Already raining at start of recording, rain gets intense at 7:10 min into recording.",Waxing,24.4375,24.375,23.5,22.5,100
Silvy van Kuijk,HARPIA_20130215_071500,71500,2/15/2013,"Harpia, 2,200",None,,,,NA,Rain,,Thunder at 08:00 min.,Waxing,24.4375,24.375,23.5,22.5,100
Silvy van Kuijk,HARPIA_20130215_073000,73000,2/15/2013,"Harpia, 2,200",None,,,,NA,Rain,,"Rain is getting lighter, can hear some birds again. Thunder at 09:30",Waxing,24.4375,24.375,23.5,22.5,100
Silvy van Kuijk,HARPIA_20130215_074500,74500,2/15/2013,"Harpia, 2,200",None,,,,NA,Rain,,"Light rain now, still at least 5 or 6 bouts of thunder sounds further away",Waxing,24.4375,24.375,23.5,22.5,100
