"","X1","Analyst","FileName","Date","RecordingLocation","plot","location","PrimateSpecies","CallOnset","CallDuration","CallCompletion","CallDistance","MicUsed","Rain","UndergradComments","SilvyComments","newdate","year","StartTime","TimeDiff","CallEnd","CallingAtStart","CallingAtEnd","path","date","meanRMS_0_2kHz","meanRMS_0_8kHz","meanRMS_2_8kHz","LunarPhase","RainPreviousDay","today_average_temp","today_min_temp","lastnight_average_temp","lastnight_min_temp","dt","roundDateTime","Temperature","Humidity","Titis","Howlers","CallDurationInSec","Year"
"31",31,"Silvy van Kuijk","HARPIA_20130226_054500.wav",2013-02-26,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 05:52:56,NA,NA,NA,1,"Drizzle",NA,NA,2013-02-26,2013,0000-01-01 05:45:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/26 feb 2013","26 feb 2013",81.317912247964,100.783120631883,100.733761434048,"Full",10.2,24.89583333,23,24.54166667,23.5,2013-02-26 05:45:00,2013-02-26 06:00:00,23.5,100,FALSE,FALSE,NA,"2013"
"32",32,"Silvy van Kuijk","HARPIA_20130226_060000.wav",2013-02-26,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 06:01:49,NA,NA,NA,1,"Drizzle",NA,NA,2013-02-26,2013,0000-01-01 06:00:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/26 feb 2013","26 feb 2013",88.9374467066812,98.7247712399745,98.2432541958997,"Full",10.2,24.89583333,23,24.54166667,23.5,2013-02-26 06:00:00,2013-02-26 06:00:00,23.5,100,FALSE,FALSE,NA,"2013"
"33",33,"Silvy van Kuijk","HARPIA_20130226_061500.wav",2013-02-26,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 06:22:51,NA,NA,NA,1,"Drizzle",NA,NA,2013-02-26,2013,0000-01-01 06:15:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/26 feb 2013","26 feb 2013",88.6249865591933,97.4084729575237,96.7921647310041,"Full",10.2,24.89583333,23,24.54166667,23.5,2013-02-26 06:15:00,2013-02-26 06:00:00,23.5,100,FALSE,FALSE,NA,"2013"
"34",34,"Silvy van Kuijk","HARPIA_20130226_063000.wav",2013-02-26,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 06:34:59,NA,NA,NA,1,"Drizzle",NA,NA,2013-02-26,2013,0000-01-01 06:30:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/26 feb 2013","26 feb 2013",87.4558397518556,92.4888406262452,90.8534470718785,"Full",10.2,24.89583333,23,24.54166667,23.5,2013-02-26 06:30:00,2013-02-26 07:00:00,23.5,100,FALSE,FALSE,NA,"2013"
"35",35,"Silvy van Kuijk","HARPIA_20130226_064500.wav",2013-02-26,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 06:46:06,NA,NA,NA,1,"Drizzle",NA,NA,2013-02-26,2013,0000-01-01 06:45:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/26 feb 2013","26 feb 2013",79.8024726625863,93.8093973849573,93.6333887128733,"Full",10.2,24.89583333,23,24.54166667,23.5,2013-02-26 06:45:00,2013-02-26 07:00:00,23.5,100,FALSE,FALSE,NA,"2013"
"36",36,"Silvy van Kuijk","HARPIA_20130226_070000.wav",2013-02-26,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 07:01:25,NA,NA,NA,1,"Drizzle",NA,NA,2013-02-26,2013,0000-01-01 07:00:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/26 feb 2013","26 feb 2013",78.9436381635998,96.2158989776138,96.1338023014793,"Full",10.2,24.89583333,23,24.54166667,23.5,2013-02-26 07:00:00,2013-02-26 07:00:00,23.5,100,FALSE,FALSE,NA,"2013"
"37",37,"Silvy van Kuijk","HARPIA_20130226_071500.wav",2013-02-26,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 07:17:40,NA,NA,NA,1,"Drizzle",NA,NA,2013-02-26,2013,0000-01-01 07:15:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/26 feb 2013","26 feb 2013",81.1587210971519,95.0582018150984,94.8776909787206,"Full",10.2,24.89583333,23,24.54166667,23.5,2013-02-26 07:15:00,2013-02-26 07:00:00,23.5,100,FALSE,FALSE,NA,"2013"
"38",38,"Silvy van Kuijk","HARPIA_20130226_073000.wav",2013-02-26,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 07:35:48,NA,NA,NA,1,"Rain",NA,NA,2013-02-26,2013,0000-01-01 07:30:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/26 feb 2013","26 feb 2013",103.832743405072,109.389685245204,107.975095925644,"Full",10.2,24.89583333,23,24.54166667,23.5,2013-02-26 07:30:00,2013-02-26 08:00:00,23.5,100,FALSE,FALSE,NA,"2013"
"39",39,"Silvy van Kuijk","HARPIA_20130226_074500.wav",2013-02-26,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 07:48:46,NA,NA,NA,1,"Rain",NA,NA,2013-02-26,2013,0000-01-01 07:45:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/26 feb 2013","26 feb 2013",101.668797001001,107.254786159755,105.851583831219,"Full",10.2,24.89583333,23,24.54166667,23.5,2013-02-26 07:45:00,2013-02-26 08:00:00,23.5,100,FALSE,FALSE,NA,"2013"
"40",40,"Silvy van Kuijk","HARPIA_20130226_080000.wav",2013-02-26,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 08:07:04,NA,NA,NA,1,"Rain",NA,NA,2013-02-26,2013,0000-01-01 08:00:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/26 feb 2013","26 feb 2013",94.8022347006991,99.8663306307271,98.2459696683085,"Full",10.2,24.89583333,23,24.54166667,23.5,2013-02-26 08:00:00,2013-02-26 08:00:00,23.5,100,FALSE,FALSE,NA,"2013"
"41",41,"Silvy van Kuijk","HARPIA_20130227_054500.wav",2013-02-27,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 05:49:30,NA,NA,NA,1,"Dry",NA,NA,2013-02-27,2013,0000-01-01 05:45:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/27 feb 2013","27 feb 2013",81.7703392725064,96.0335021758353,95.8678730317935,"Full",36.8,24.16666667,22.5,23.25,22.5,2013-02-27 05:45:00,2013-02-27 06:00:00,22.5,100,FALSE,FALSE,NA,"2013"
"42",42,"Silvy van Kuijk","HARPIA_20130227_060000.wav",2013-02-27,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 06:01:20,NA,NA,NA,1,"Dry",NA,"Someone walks by 6:30 into recording.",2013-02-27,2013,0000-01-01 06:00:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/27 feb 2013","27 feb 2013",89.3944013665117,93.578774797604,91.4923740924365,"Full",36.8,24.16666667,22.5,23.25,22.5,2013-02-27 06:00:00,2013-02-27 06:00:00,22.5,100,FALSE,FALSE,NA,"2013"
"43",43,"Silvy van Kuijk","HARPIA_20130227_061500.wav",2013-02-27,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 06:22:24,NA,NA,NA,1,"Drizzle",NA,NA,2013-02-27,2013,0000-01-01 06:15:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/27 feb 2013","27 feb 2013",89.6391804112747,93.3706785507075,90.979494421521,"Full",36.8,24.16666667,22.5,23.25,22.5,2013-02-27 06:15:00,2013-02-27 06:00:00,22.5,100,FALSE,FALSE,NA,"2013"
