Analyst,FileName,Date,RecordingLocation,PrimateSpecies,CallOnset,CallDuration,CallCompletion,CallDistance,MicUsed,Rain,UndergradComments,SilvyComments
Silvy van Kuijk,HARPIA_20130221_073000,2/21/2013,"Harpia, 4, 200",None,,,,,1,Rain,,Nice woolly trill at 4:10
Silvy van Kuijk,HARPIA_20130221_074500,2/21/2013,"Harpia, 4, 200",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130221_080000,2/21/2013,"Harpia, 4, 200",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130222_054500,2/22/2013,"Harpia, 4, 200",None,,,,,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130222_060000,2/22/2013,"Harpia, 4, 200",Titi,6:01:10,0:00:50,Complete,3,1,Drizzle,,Series of four BG's.
Silvy van Kuijk,HARPIA_20130222_061500,2/22/2013,"Harpia, 4, 200",None,,,,,1,Drizzle,,VERY clear noise from generator in bottom 200 Hz. Just after 1:00 someone walks by recorder. Likely John checking on recorders.
Silvy van Kuijk,HARPIA_20130222_063000,2/22/2013,"Harpia, 4, 200",None,,,,,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130222_064500,2/22/2013,"Harpia, 4, 200",None,,,,,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130222_070000,2/22/2013,"Harpia, 4, 200",None,,,,,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130222_071500,2/22/2013,"Harpia, 4, 200",None,,,,,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130222_073000,2/22/2013,"Harpia, 4, 200",None,,,,,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130222_074500,2/22/2013,"Harpia, 4, 200",None,,,,,1,Drizzle,,Recording starts with passing passing helicopter. Clear pattern up to 150 Hz. 
Silvy van Kuijk,HARPIA_20130222_080000,2/22/2013,"Harpia, 4, 200",None,,,,,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130213_054500,2/13/2013,"Harpia, 5, 800",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130213_060000,2/13/2013,"Harpia, 5, 800",Howler,6:00:00,0:10:00,"Start, End",4,1,Dry,,
Silvy van Kuijk,HARPIA_20130213_061500,2/13/2013,"Harpia, 5, 800",Howler,6:15:00,0:03:20,Start,4,1,Dry,,
Silvy van Kuijk,HARPIA_20130213_063000,2/13/2013,"Harpia, 5, 800",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130213_064500,2/13/2013,"Harpia, 5, 800",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130213_070000,2/13/2013,"Harpia, 5, 800",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130213_071500,2/13/2013,"Harpia, 5, 800",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130213_073000,2/13/2013,"Harpia, 5, 800",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130213_074500,2/13/2013,"Harpia, 5, 800",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130213_080000,2/13/2013,"Harpia, 5, 800",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130214_054500,2/14/2013,"Harpia, 5, 800",Howler,5:54:31,0:00:29,End,4,1,Dry,,
Silvy van Kuijk,HARPIA_20130214_060000,2/14/2013,"Harpia, 5, 800",Howler,6:00:00,0:08:05,Start,4,1,Dry,,
